date,rate
20020522,0.9265
20020523,0.9233
20020524,0.9220
20020528,0.9285
20020529,0.9313
20020530,0.9373
20020531,0.9339
20020603,0.9390
20020604,0.9424
20020605,0.9391
20020606,0.9457
20020607,0.9449
20020610,0.9446
20020611,0.9445
20020612,0.9473
20020613,0.9440
20020614,0.9448
20020617,0.9442
20020618,0.9483
20020619,0.9544
20020620,0.9646
20020621,0.9705
20020624,0.9786
20020625,0.9692
20020626,0.9825
20020627,0.9885
20020628,0.9856
20020701,0.9893
20020702,0.9840
20020703,0.9816
20020705,0.9730
20020708,0.9869
20020709,0.9938
20020710,0.9890
20020711,0.9927
20020712,0.9904
20020715,1.0072
20020716,1.0087
20020717,1.0078
20020718,1.0067
20020719,1.0156
20020722,1.0098
20020723,0.9933
20020724,0.9945
20020725,0.9997
20020726,0.9882
20020729,0.9779
20020730,0.9879
20020731,0.9796
20020801,0.9843
20020802,0.9882
20020805,0.9846
20020806,0.9640
20020807,0.9738
20020808,0.9653
20020809,0.9714
20020812,0.9778
20020813,0.9787
20020814,0.9867
20020815,0.9816
20020816,0.9836
20020819,0.9775
20020820,0.9779
20020821,0.9796
20020822,0.9697
20020823,0.9726
20020826,0.9731
20020827,0.9814
20020828,0.9820
20020829,0.9829
20020830,0.9806
20020903,0.9959
20020904,0.9923
20020905,0.9911
20020906,0.9843
20020909,0.9817
20020910,0.9752
20020911,0.9724
20020912,0.9761
20020913,0.9743
20020916,0.9723
20020917,0.9685
20020918,0.9789
20020919,0.9817
20020920,0.9839
20020923,0.9822
20020924,0.9815
20020925,0.9797
20020926,0.9755
20020927,0.9772
20020930,0.9879
20021001,0.9859
20021002,0.9842
20021003,0.9871
20021004,0.9821
20021007,0.9816
20021008,0.9796
20021009,0.9868
20021010,0.9861
20021011,0.9854
20021015,0.9810
20021016,0.9824
20021017,0.9718
20021018,0.9708
20021021,0.9732
20021022,0.9782
20021023,0.9772
20021024,0.9742
20021025,0.9767
20021028,0.9843
20021029,0.9851
20021030,0.9835
20021031,0.9881
20021101,0.9971
20021104,0.9953
20021105,0.9994
20021106,0.9974
20021107,1.0092
20021108,1.0139
20021112,1.0105
20021113,1.0060
20021114,1.0034
20021115,1.0082
20021118,1.0083
20021119,1.0107
20021120,1.0024
20021121,0.9984
20021122,0.9966
20021125,0.9937
20021126,0.9913
20021127,0.9895
20021129,0.9932
20021202,0.9927
20021203,0.9968
20021204,0.9999
20021205,0.9989
20021206,1.0081
20021209,1.0088
20021210,1.0073
20021211,1.0083
20021212,1.0189
20021213,1.0226
20021216,1.0210
20021217,1.0267
20021218,1.0254
20021219,1.0217
20021220,1.0268
20021223,1.0217
20021224,1.0305
20021226,1.0358
20021227,1.0411
20021230,1.0460
20021231,1.0485
20030102,1.0361
20030103,1.0418
20030106,1.0469
20030107,1.0419
20030108,1.0447
20030109,1.0467
20030110,1.0535
20030113,1.0535
20030114,1.0571
20030115,1.0576
20030116,1.0569
20030117,1.0660
20030121,1.0677
20030122,1.0729
20030123,1.0767
20030124,1.0825
20030127,1.0838
20030128,1.0833
20030129,1.0861
20030130,1.0776
20030131,1.0739
20030203,1.0761
20030204,1.0875
20030205,1.0842
20030206,1.0828
